분류,질문,답변
휴대폰 앱,[휴대폰 앱] 볼트EV/볼트EUV용 myChevrolet 앱은 계속 사용할 수 있나요?,"기존 볼트EV/볼트EUV용으로 개발된 myChevrolet 앱은 온스타 서비스가 개시된 시점(2024년 4월 8일)부터는 서비스가 종료됩니다. myChevrolet 앱은 온스타 서비스를 위한 앱으로 대체되며, 더 이상 볼트EV/볼트EUV를 위한 전기차 지원 기능은 제공되지 않습니다.


다만, 온스타 서비스용 myChevrolet 앱이 출시되기 이전에 볼트EV/볼트EUV용 앱을 다운로드 받으셨던 경우, 앱 업데이트를 하지 않으시면 기존과 같이 사용이 가능할 수 있습니다."
휴대폰 앱,[휴대폰 앱] 온스타 서비스를 시작하려면 블루투스 연결이 필요한가요?,"처음 온스타 서비스 활성화 시 블루투스 연결이 필요합니다. 다음 온스타 작동 활성화 영상에서 블루투스 연결 과정을 참고하세요. https://www.youtube.com/watch?v=joklAM1LFZk (블루투스 연결 2분 26초 이후)


온스타 서비스가 성공적으로 연결된 후부터는 블루투스 연결 없이도 온스타 서비스 이용이 가능합니다."
휴대폰 앱,[휴대폰 앱] 앱 화면이 예전과 달라졌습니다. 어떤 변경이 있었나요?,"이번 업데이트에서는 주요 기능들의 고객 사용성 및 편의성을 높이기 위한 디자인 개편 등의 다양한 변화가 반영되었습니다.


아직 이전 버전을 사용 중이신 경우에는 앱스토어 또는 플레이스토어에서 최신 버전으로 업데이트 하시면 더욱 향상된 서비스를 경험하실 수 있습니다."
원격 차량 제어,[원격 차량 제어] 원격 제어 기능은 무엇인가요?,원격 제어 기능은 휴대폰 앱을 통하여 차량의 특정 기능을 원격으로 제어하는 기능을 의미합니다.
원격 차량 제어,[원격 차량 제어] 어떤 기능을 원격으로 제어할 수 있나요?,"온스타 가입자는 휴대폰 앱으로 엔진 시동 켜기 및 끄기, 차량 문 잠금 및 잠금 해제, 경적 및 비상등 제어 등의 작업을 수행할 수 있습니다."
원격 차량 제어,[원격 차량 제어] 휴대폰 앱을 통해 원격제어 기능을 사용하려면 어떻게 해야 하나요?,해당 하드웨어가 장착된 차량과 휴대폰 앱을 통해 온스타 서비스에 등록 하셔야 합니다. 자세한 내용은 온스타 서비스 시작하기 페이지를 참고하세요.
원격 차량 제어,[원격 차량 제어] 원격 차량 제어가 작동하지 않습니다. 이를 어떻게 해결할 수 있나요?,"다음과 같은 경우 원격 차량 제어가 작동하지 않을 수 있으니 확인을 부탁드립니다.
  - 통신 음영 지역에 차량이 주차되어 있는 경우
- 시동이 꺼진 후 10일이 지난 경우
  아래를 먼저 확인 해 보실 수 있습니다.
  - 통신이 원활한 장소로 차량을 이동시킨 후 다시 한번 시도해 주세요.
- 시동이 꺼진 후 10일이 지난 경우라면, 차량의 문을 열거나, 직접 재시동 하면 서비스는 다시 정상 작동합니다."
원격 차량 제어,[원격 차량 제어] 온스타 서비스의 원격 차량 제어 사용 시 거리 제한이 있나요?,"거리 제한이 없습니다. 온스타 서비스의 원격 차량 제어는 무선통신을 사용하여, 차량과 휴대폰 앱 간의 거리에 상관 없이 무선 통신이 원활한 지역이라면 어디서든 원격 차량 제어가 가능합니다."
원격 차량 제어,[원격 차량 제어] 원격 시동은 연속으로 사용 가능한가요?,"2025 트랙스 크로스오버(RS,ACTIV), 2025 트레일블레이저, 2026 트레일블레이저

•  원격 시동은 연속으로 2회까지 가능하며, 이후 차량에서 직접 시동을 걸어야 다시 사용 가능합니다. 시동 시 15분간 유지 됩니다.  
 
2024 콜로라도 

•  여러 차례 원격 시동을 시도하는 경우, 총 30분 동안 원격 시동이 작동합니다. 원격 시동 시간이 30분 이상이 되면 더 이상 기능은 작동하지 않습니다. 이후 차량 내에서 직접 시동을 걸면 원격 시동 가능 시간은 초기화되며 다시 기능을 사용하실 수 있습니다."
원격 차량 제어,"[원격 차량 제어] 원격 시동 시, 공조 장치 컨트롤이 가능한가요?","원격 시동 시 공조장치는 항상 ON 이 됩니다. 차량 및 외부 조건에 따라 다른 현상이 나타날 수 있습니다. 아래를 참조해 주세요.  
 
2025 트랙스 크로스오버(RS,ACTIV), 2025 트레일블레이저, 2026 트레일블레이저
 
•  차량에 수동형 공조장치가 장착된 경우:  
외부 온도가 낮은 경우, 공조장치는 가장 높은 온도 설정으로 세팅되어 내부 온도를 높입니다.  
외부 온도가 높은 경우, 공조장치는 가장 낮은 온도 설정으로 세팅되어 내부 온도를 낮춥니다.  
외부 온도가 적당한 경우, 공조장치는 고객이 마지막에 설정한 세팅값대로 유지되어 작동합니다. 
 
•  차량에 자동형 공조장치가 장착된 경우:  
만약 고객이 마지막으로 설정한 내부온도 설정값이 외부 온도에 비해 너무 높거나 낮은 경우, 공조시스템은 편안한 수준의 내부 온도를 맞추기 위해 적절한 히팅이나 에어컨을 자동으로 작동시킵니다. 원격 제어가 종료된 후에는 공조장치의 세팅값은 다시 고객이 마지막으로 설정한 내부온도 값으로 재조정됩니다. 
 
2024 콜로라도 
 
원격 시동 시 실내 온도 설정 값을 조절 할 수 있습니다.  
•  원격 시동이 완료되면 시동 버튼에 마지막으로 설정한 온도가 표시 됩니다.  
•  버튼을 다시 누르면 온도 설정 팝업이 나타납니다. 타깃을 설정하고 완료를 누르면 목표 온도가 세팅됩니다. 
•  시동 끄기를 누르면 시동이 꺼지면서 공조 장치는 작동을 멈춥니다. 
•  원격 시동은 1회당 15분간 유지되므로, 원격 시동 직후 원하는 실내 온도를 설정하시는 것이 권장됩니다. 일반적으로 실내 목표 온도 도달까지는 10분 정도의 시간이 필요합니다. (실외 온도 상태에 따라 다를 수 있음)"
원격 차량 제어,[원격 차량 제어] 원격 시동 시 스마트키 없이 주행이 가능한가요?,원격시동으로는 차량운행이 불가능합니다. 차량 운행은 스마트키가 차량 내 있어야만 가능합니다.
차량 진단,[차량 진단] 차량 진단 기능이란 무엇인가요?,"차량 진단 기능은 실시간으로 차량의 상태를 확인하고 진단하는 기능으로서, 더욱 안전한 차량 운행을 지원하는 기능입니다."
차량 진단,[차량 진단] 진단 알림이란 무엇인가요?,"진단 알림은 차량 핵심 시스템인 엔진, 변속기, 에어백 등을 실시간으로 확인하고 점검 필요시 안내하는 서비스 입니다. 진단 알림을 통해 고객님이 차량을 최상의 상태로 유지할 수 있도록 도와 줍니다.

참고) 전기시스템(램프)는 현재 제공되지 않으며, 향후 버전에서 삭제 혹은 개선될 수 있습니다."
